metric,projector,instance,precision,recall,f1
test_other-art-broadcast/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location-transit/macro_types,classifier_adapter_bert_ms,0,0.28947368264198303,0.6875,0.4074074327945709
test_other-heritage/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_organization-music/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-company-broadcast/macro_types,classifier_adapter_bert_ms,0,0.27272728085517883,0.3529411852359772,0.3076923191547394
test_other-health-malady/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-political_figure/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-internet/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-doctor/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-health/macro_types,classifier_adapter_bert_ms,0,0.01149425283074379,0.03846153989434242,0.017699114978313446
test_other-event-natural_disaster/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-structure/macro_types,classifier_adapter_bert_ms,0,0.11307420581579208,0.22068965435028076,0.14953270554542542
test_location-transit-road/macro_types,classifier_adapter_bert_ms,0,0.625,0.7142857313156128,0.6666666865348816
test_organization-government/macro_types,classifier_adapter_bert_ms,0,0.20000000298023224,0.008230452425777912,0.015810277312994003
test_other-religion/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-athlete/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-structure-sports_facility/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_organization-stock_exchange/macro_types,classifier_adapter_bert_ms,0,0.12195122241973876,0.4545454680919647,0.19230768084526065
test_other-language-programming_language/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event-protest/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location-geography-island/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event-sports_event/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event-election/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-health-treatment/macro_types,classifier_adapter_bert_ms,0,0.01886792480945587,0.03846153989434242,0.025316456332802773
test_location-country/macro_types,classifier_adapter_bert_ms,0,0.8363636136054993,0.1854838728904724,0.30363038182258606
test_location-geography/macro_types,classifier_adapter_bert_ms,0,0.14678898453712463,0.25806450843811035,0.1871345043182373
test_organization-company-news/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location/macro_types,classifier_adapter_bert_ms,0,0.4087631702423096,0.7225490212440491,0.5221395492553711
test_location-structure-hospital/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-sports_team/macro_types,classifier_adapter_bert_ms,0,1.0,0.5,0.6666666865348816
test_location-structure-restaurant/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test/micro,classifier_adapter_bert_ms,0,0.6257985234260559,0.5339356660842896,0.5762288570404053
test_other-product-car/macro_types,classifier_adapter_bert_ms,0,0.8461538553237915,0.4583333432674408,0.5945945978164673
test_location-city/macro_types,classifier_adapter_bert_ms,0,1.0,0.008064515888690948,0.01599999889731407
test_other-art-film/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-military/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-product-computer/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-artist-music/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-body_part/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-award/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-title/macro_types,classifier_adapter_bert_ms,0,0.40625,0.25999999046325684,0.31707316637039185
test_other-art-writing/macro_types,classifier_adapter_bert_ms,0,0.5,0.022727273404598236,0.04347826540470123
test_person-artist-actor/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-geography-body_of_water/macro_types,classifier_adapter_bert_ms,0,0.3333333432674408,0.2857142984867096,0.3076923191547394
test_location-park/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-structure-government/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-living_thing-animal/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-product/macro_types,classifier_adapter_bert_ms,0,0.6310679316520691,0.2549019753932953,0.36312851309776306
test_organization/macro_types,classifier_adapter_bert_ms,0,0.6029411554336548,0.14559659361839294,0.2345537543296814
test_other-scientific/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event/macro_types,classifier_adapter_bert_ms,0,0.07320643961429596,0.4587155878543854,0.1262626200914383
test_other-product-software/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-artist/macro_types,classifier_adapter_bert_ms,0,0.17834395170211792,0.37837839126586914,0.24242423474788663
test_other-event-accident/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
